merchant,category,amt,lat,long,merch_lat,merch_long,hour,day,month,gender,cc_num,is_fraud
Shell,pharmacy,922.23,46.4833,-115.1192,46.5182,-115.1294,1,26,2,M,8667809106718917,0
7-Eleven,convenience,917.52,35.5666,-107.877,35.568400000000004,-107.8808,14,29,7,F,6902572353040761,0
Kroger,clothing,500.77,40.3052,-80.3694,40.261,-80.3977,16,30,10,M,5396615715346856,0
CVS,convenience,613.13,26.862,-99.8663,26.8315,-99.8911,9,20,12,M,8950947340569572,0
eBay,fuel,160.09,47.1773,-84.4148,47.194300000000005,-84.4403,18,22,9,F,1902972486683817,0
Shell,convenience,35.44,28.5235,-122.4588,28.492099999999997,-122.4192,15,4,7,F,7676388708567379,0
eBay,electronics,20.0,37.6616,-91.3414,37.6716,-91.36609999999999,13,25,12,F,3684566214279916,0
CVS,pharmacy,36.35,38.4087,-70.2181,38.4164,-70.24310000000001,12,31,2,F,7787517499886359,0
Walmart,fuel,921.5,41.0788,-101.4335,41.0771,-101.4366,9,1,12,M,7967318977825202,0
Apple Store,grocery,651.44,43.8278,-77.0878,43.854400000000005,-77.122,8,16,12,M,7682618241191024,0
7-Eleven,convenience,212.5,43.3428,-89.1532,43.339999999999996,-89.1259,14,5,5,M,1323256487868979,0
eBay,clothing,627.27,43.1227,-85.1201,43.1467,-85.0975,21,19,1,F,5790365301667893,0
7-Eleven,clothing,173.09,27.5884,-123.0983,27.6004,-123.1348,19,22,12,M,1828734657160180,0
eBay,clothing,876.62,26.8266,-101.5545,26.8708,-101.5699,15,18,7,F,4605714176908461,0
7-Eleven,fuel,437.01,48.2243,-72.8882,48.2694,-72.9222,22,4,8,F,6690705736695757,0
Target,fuel,682.82,43.4204,-104.5568,43.3999,-104.52019999999999,1,28,12,M,3498889674610024,1
eBay,grocery,469.12,39.8043,-101.292,39.811099999999996,-101.2866,6,29,9,F,1697451491512853,0
7-Eleven,pharmacy,560.52,31.1525,-115.5195,31.1408,-115.5105,7,17,1,M,4555910905675287,0
Apple Store,pharmacy,63.58,26.6336,-108.9925,26.626,-108.99390000000001,23,10,4,M,3136550159351099,0
CVS,convenience,26.56,29.0256,-107.3824,29.0375,-107.429,19,23,2,F,8644848812866263,0
CVS,pharmacy,977.49,35.1449,-102.698,35.1822,-102.6592,17,25,12,M,6184984494395325,0
Best Buy,electronics,762.76,36.9148,-110.1002,36.8733,-110.0772,22,20,2,M,3895540391928378,0
CVS,clothing,535.25,48.3906,-121.6188,48.410399999999996,-121.6107,11,19,3,F,3796555253622396,0
Shell,electronics,889.99,36.2211,-93.0317,36.2647,-93.0607,9,30,11,F,7433912672467424,0
Apple Store,convenience,158.9,33.0198,-116.2802,33.04109999999999,-116.33,15,2,3,F,4264871665644619,0
eBay,clothing,139.45,44.3373,-104.2753,44.3526,-104.27720000000001,19,3,4,F,6801758347846750,0
Amazon,electronics,537.76,39.5972,-81.3652,39.6118,-81.3625,23,1,4,F,9347391980118099,1
eBay,clothing,623.23,26.6334,-118.143,26.6121,-118.1901,5,2,7,F,8069005607892247,0
7-Eleven,pharmacy,963.63,43.4137,-90.1749,43.3906,-90.1531,12,1,11,M,8136216582023654,1
Best Buy,clothing,213.17,37.6514,-112.1823,37.6862,-112.2052,1,6,10,M,6922222142828994,0
Best Buy,grocery,632.52,33.8649,-107.9728,33.8801,-107.9368,10,30,6,M,4959680231977878,0
Walmart,fuel,111.86,34.139,-84.925,34.1863,-84.9616,15,10,10,M,2578802832535416,0
Walmart,convenience,599.61,41.4213,-81.6141,41.3828,-81.61359999999999,8,30,4,F,1663834372230334,0
Target,clothing,48.54,40.0185,-116.866,40.000800000000005,-116.8411,11,12,10,M,4354416138657085,0
Kroger,clothing,37.98,40.6446,-95.5215,40.619,-95.54180000000001,11,22,12,F,4401137773127763,0
CVS,fuel,541.66,36.3395,-78.8905,36.364000000000004,-78.8497,1,28,6,F,4297281833911537,0
7-Eleven,convenience,136.22,27.3448,-100.0943,27.3616,-100.1372,17,4,9,F,9558159361587723,0
Best Buy,electronics,100.14,31.5319,-104.4077,31.5125,-104.3639,21,29,12,F,6814225119071182,0
CVS,grocery,138.21,48.4559,-102.9412,48.4597,-102.98079999999999,1,4,6,M,6721974337914168,0
Walmart,convenience,448.53,40.5767,-71.3232,40.5415,-71.2817,11,4,4,M,4802500260464320,0
7-Eleven,convenience,685.79,37.7348,-85.3082,37.7609,-85.29599999999999,19,14,1,M,1742748926455014,0
Best Buy,fuel,188.63,35.9849,-97.8429,35.9742,-97.8215,12,18,3,M,2765409632606474,1
Amazon,clothing,973.18,38.3073,-81.356,38.3414,-81.3732,23,27,6,M,3215364643916253,0
Apple Store,grocery,897.3,37.719,-118.9019,37.6856,-118.9469,0,30,7,M,3422862047986739,0
Best Buy,clothing,27.9,31.2096,-118.3083,31.2018,-118.33,22,15,1,M,4609965221392368,0
Shell,grocery,501.78,34.47,-109.0257,34.4949,-109.0093,21,30,11,F,3723414383005451,0
CVS,convenience,96.84,26.8529,-88.5065,26.890600000000003,-88.4935,4,22,6,F,8430739607346031,0
Amazon,convenience,478.28,40.168,-80.9295,40.1286,-80.88040000000001,16,3,7,M,8323382509647073,0
Apple Store,clothing,169.85,46.6171,-77.1056,46.620200000000004,-77.112,17,31,11,F,7536713753143424,1
Target,electronics,818.58,28.0603,-68.7902,28.079,-68.8326,23,20,1,F,6579540124966571,0
Apple Store,clothing,833.3,33.2338,-87.6475,33.2492,-87.66199999999999,21,25,1,M,5599844491759804,0
eBay,grocery,190.59,37.9421,-86.9854,37.9767,-87.0288,1,6,10,F,1598894437696864,0
Kroger,pharmacy,916.87,46.514,-93.7976,46.4714,-93.74980000000001,12,17,4,F,6635641166895775,0
Target,fuel,20.11,47.2113,-81.8793,47.1826,-81.8737,18,1,12,F,3607787314570253,0
Amazon,pharmacy,594.44,28.1478,-98.7601,28.1027,-98.8074,0,25,4,M,9308314453686217,0
eBay,grocery,154.24,39.5878,-68.455,39.5552,-68.4386,20,12,3,M,1004933532342464,0
Apple Store,clothing,206.68,35.7703,-115.1394,35.7933,-115.1138,14,20,4,M,7486549206439633,0
CVS,grocery,212.42,32.6411,-84.4041,32.6623,-84.3558,8,2,3,F,2329266750983285,0
Shell,convenience,997.77,34.2552,-92.0145,34.2297,-92.0107,15,23,4,F,7816440548001721,0
Apple Store,electronics,573.57,40.9437,-88.7639,40.9813,-88.7296,5,5,3,F,5622047220466320,0
Shell,pharmacy,637.56,39.37,-81.014,39.356899999999996,-81.0362,5,5,8,M,2695182543147409,0
Apple Store,convenience,28.87,32.1718,-66.9276,32.186699999999995,-66.9464,1,4,5,F,7697597450946345,0
Walmart,convenience,851.77,42.0726,-95.4625,42.0584,-95.4131,13,4,4,F,7648917829769926,0
CVS,fuel,610.93,35.0163,-112.6256,35.0112,-112.6704,4,12,10,F,7647558363129448,0
7-Eleven,electronics,804.41,37.5746,-95.9158,37.54559999999999,-95.891,16,16,8,M,2609151928571181,0
Apple Store,convenience,451.17,28.109,-114.794,28.0756,-114.83359999999999,17,4,12,F,5110867940213861,0
CVS,electronics,724.98,34.1881,-92.8835,34.1523,-92.9213,19,12,11,F,8238813731691305,0
Amazon,electronics,521.75,38.156,-81.6965,38.2036,-81.7126,21,27,10,M,6178921773119887,0
eBay,convenience,359.17,26.6735,-78.3173,26.6341,-78.2936,18,12,12,M,9353031030177550,0
Best Buy,electronics,738.48,29.802,-109.444,29.8375,-109.3957,8,31,6,M,1549478232532742,0
CVS,convenience,407.72,41.7044,-107.7686,41.6781,-107.7356,19,25,5,M,6915278192080482,1
Walmart,clothing,944.21,31.0727,-73.2577,31.0496,-73.227,8,1,11,M,1251944222093762,0
Target,electronics,810.64,48.0978,-115.5922,48.116,-115.5946,5,3,4,M,7281403553746789,1
Target,pharmacy,390.17,32.9231,-75.0396,32.946999999999996,-75.01379999999999,19,4,7,M,4179410744847663,1
Best Buy,pharmacy,883.61,43.152,-90.834,43.1845,-90.8505,1,28,3,F,2428819851406815,0
CVS,convenience,875.89,42.0675,-110.9773,42.0963,-110.9782,8,23,7,F,9522924688080477,0
Amazon,convenience,191.13,33.0816,-86.7714,33.0867,-86.8046,9,27,4,F,7824032412389488,0
Amazon,grocery,757.05,46.0324,-117.15,46.076,-117.1264,11,7,1,M,8971941257179113,0
Target,grocery,450.14,36.3444,-114.573,36.3262,-114.58009999999999,0,25,10,F,6534182260922098,0
Shell,electronics,73.41,34.4829,-92.3426,34.4863,-92.3341,19,10,8,M,7886992385798319,0
Walmart,electronics,43.08,43.3939,-110.6414,43.367200000000004,-110.68820000000001,1,5,12,F,2419861998789974,0
Walmart,fuel,939.07,25.6755,-116.8816,25.63,-116.9088,19,3,6,F,6308353026276831,0
Target,fuel,858.72,37.6124,-103.5099,37.5733,-103.5254,2,30,3,M,9451841191913270,0
Kroger,electronics,487.27,40.1055,-98.3683,40.1119,-98.34,4,27,9,M,8769662429892811,0
7-Eleven,fuel,481.69,38.1576,-77.1643,38.2058,-77.1569,16,6,12,M,8417570539869887,0
Apple Store,clothing,514.74,48.7488,-71.5974,48.7648,-71.6099,0,29,5,M,5525270170851163,0
Walmart,fuel,302.31,42.8972,-96.9404,42.9445,-96.9324,18,11,10,M,9434019221925133,0
Kroger,clothing,535.81,35.0758,-103.8682,35.0775,-103.906,12,11,1,M,6978460213264729,0
7-Eleven,clothing,706.62,27.1948,-81.2872,27.1451,-81.3361,1,30,6,M,9749962315596939,0
Target,convenience,169.32,25.2663,-74.4788,25.247400000000003,-74.436,3,12,2,M,2529350752836286,0
Apple Store,fuel,397.85,31.1154,-86.4246,31.157,-86.3908,18,17,12,M,3712054568414861,0
Shell,grocery,399.69,40.0495,-103.193,40.013200000000005,-103.1716,19,10,8,F,8283465480625187,0
Amazon,grocery,238.94,29.3683,-87.4514,29.3442,-87.48740000000001,11,27,11,F,8845759277851168,0
CVS,grocery,631.15,33.5207,-85.2563,33.512299999999996,-85.20729999999999,18,20,9,M,5055758260742413,0
7-Eleven,electronics,409.04,29.6627,-80.9422,29.621000000000002,-80.971,10,9,1,F,2740706725955606,0
Apple Store,electronics,382.37,39.1298,-80.0766,39.1477,-80.0818,16,9,10,F,5676094678885512,0
Best Buy,convenience,934.48,25.0261,-84.3281,25.0335,-84.308,15,19,6,F,2533357198730923,0
7-Eleven,grocery,277.79,47.3772,-73.486,47.335300000000004,-73.4555,6,2,4,M,8025927786919153,0
Kroger,grocery,220.28,29.2888,-110.1608,29.2627,-110.1193,2,19,7,F,1677875227474657,0
Shell,fuel,43.56,36.4886,-74.637,36.458,-74.651,15,23,2,F,3694618110369766,0
Apple Store,clothing,760.58,43.1251,-90.5415,43.1107,-90.5264,13,9,8,F,7739897248414691,0
CVS,pharmacy,17.74,44.1791,-83.6249,44.219,-83.5873,1,7,7,M,8596168850094107,0
Shell,pharmacy,482.03,28.587,-112.5376,28.6039,-112.49589999999999,1,23,10,M,6635105103658569,0
Best Buy,grocery,255.12,41.3556,-85.6798,41.385600000000004,-85.728,17,15,3,M,9119811059865388,0
7-Eleven,clothing,10.53,30.7408,-109.2742,30.7001,-109.30059999999999,10,25,6,F,8968013174106543,0
Apple Store,grocery,685.14,25.7161,-77.3909,25.7206,-77.4385,0,30,4,M,7989276112968328,0
Walmart,pharmacy,902.01,46.0651,-66.4977,46.0825,-66.46809999999999,5,9,2,M,5633815863887829,1
Shell,grocery,702.65,47.0876,-112.8522,47.0593,-112.80969999999999,20,12,9,M,5743286370919544,0
Shell,pharmacy,943.35,33.2935,-90.6576,33.2483,-90.6898,3,9,3,F,7333702151027973,0
eBay,electronics,593.38,40.6975,-84.8503,40.6522,-84.848,13,31,9,F,6526411504112200,0
Kroger,grocery,634.88,38.9398,-80.3345,38.916599999999995,-80.3331,5,31,4,F,1608909503396047,0
eBay,pharmacy,250.9,44.5125,-98.5502,44.533300000000004,-98.5351,16,10,3,F,4497364409928299,0
Best Buy,clothing,143.38,34.5037,-114.4761,34.523700000000005,-114.4277,14,11,11,M,3430980111597939,0
7-Eleven,convenience,381.64,38.6458,-90.4435,38.6787,-90.4509,18,13,6,F,2632702432340019,0
Walmart,electronics,879.42,35.8953,-106.042,35.9324,-106.0185,20,28,2,M,1839998939694438,0
Amazon,clothing,169.75,25.3946,-124.6074,25.3781,-124.6302,7,4,4,M,8493081473710995,0
eBay,electronics,35.16,35.3846,-109.1512,35.4233,-109.1536,14,1,8,M,1994626353387307,0
Best Buy,convenience,864.79,45.5384,-117.463,45.544900000000005,-117.49799999999999,9,9,4,F,1833310853954906,0
eBay,grocery,630.44,26.1469,-80.55,26.1677,-80.5902,1,5,4,M,3793110262853494,0
Amazon,grocery,113.21,41.2688,-89.174,41.2367,-89.1864,14,23,7,M,9484492051911702,1
Amazon,electronics,457.29,28.4333,-123.0506,28.4592,-123.0124,15,1,5,M,6490798317510894,0
Best Buy,grocery,487.88,42.6452,-92.9402,42.6499,-92.9501,3,9,2,F,7195186041128000,0
Amazon,clothing,463.23,35.3878,-84.5455,35.370599999999996,-84.5553,20,14,4,F,3322441509874453,0
Apple Store,convenience,384.91,32.3575,-68.9662,32.371900000000004,-68.9377,9,20,9,M,2190069891826796,0
Kroger,pharmacy,605.77,39.3646,-90.9205,39.3874,-90.9401,21,9,3,M,6217574454714278,0
CVS,clothing,75.03,48.8063,-118.43,48.7761,-118.38090000000001,1,13,6,F,3713442559372324,0
Target,fuel,815.5,36.4515,-106.3948,36.4065,-106.4128,3,9,12,F,3702129157444300,0
Walmart,clothing,791.11,39.7001,-90.3322,39.6745,-90.3576,2,10,7,F,4036158141362278,0
CVS,pharmacy,962.34,31.846,-123.7928,31.8016,-123.8211,7,27,5,F,3190481085090362,0
Amazon,clothing,116.68,27.2925,-88.5067,27.2818,-88.5302,10,21,4,F,8256596710070455,0
eBay,electronics,275.79,25.8152,-121.1467,25.862000000000002,-121.1096,13,17,5,M,2585311946768786,0
Target,convenience,211.05,40.1462,-114.966,40.1316,-114.97699999999999,10,2,10,F,6427477829220182,0
Amazon,electronics,598.48,27.4785,-82.0319,27.4566,-81.99799999999999,20,19,2,F,4002746416878920,0
Kroger,convenience,844.82,25.691,-110.3094,25.704,-110.33489999999999,3,8,10,F,7783465350914819,1
Target,fuel,771.09,32.442,-100.0933,32.4834,-100.0533,6,12,12,M,5024417674680412,0
Apple Store,pharmacy,726.04,45.1178,-83.1027,45.1555,-83.0907,10,30,4,M,9587203046773097,0
eBay,fuel,41.78,32.8888,-101.7478,32.9339,-101.70909999999999,18,20,8,F,7324993206363473,0
Target,convenience,79.46,40.654,-122.6034,40.7002,-122.63319999999999,15,14,11,M,4922657460218701,0
Apple Store,clothing,141.71,28.3753,-99.6356,28.3456,-99.6418,17,2,8,M,9498337331042542,0
Target,clothing,850.76,30.6087,-95.9912,30.6439,-96.0391,6,9,2,M,3791852984326765,0
Amazon,electronics,309.19,43.1381,-98.3825,43.1225,-98.3796,17,19,1,F,2074927116703019,0
Best Buy,clothing,84.95,38.2008,-114.6301,38.179700000000004,-114.6137,6,8,8,M,4847895643220675,0
7-Eleven,electronics,930.05,30.7492,-103.8695,30.726599999999998,-103.8967,16,10,6,F,8806090838317708,0
Target,clothing,931.68,40.8741,-114.3407,40.825199999999995,-114.2924,7,4,6,F,4198472707528303,0
7-Eleven,clothing,976.83,32.5066,-114.0635,32.554899999999996,-114.02940000000001,17,24,2,M,8815133976704016,0
Kroger,pharmacy,17.12,42.2573,-89.6055,42.2145,-89.56790000000001,14,31,4,F,4311177607692704,0
Best Buy,clothing,389.83,30.5431,-81.5076,30.520699999999998,-81.5249,0,16,4,M,1572730013467618,0
eBay,grocery,93.59,38.5137,-93.932,38.5525,-93.9327,13,10,10,M,8653043434972259,0
Apple Store,fuel,156.51,33.3428,-97.4053,33.3619,-97.3969,7,29,3,F,6675634804139103,0
CVS,fuel,812.37,42.5315,-123.6124,42.4971,-123.64229999999999,4,24,2,M,1674516173139586,0
CVS,electronics,172.85,45.7154,-81.598,45.6755,-81.6133,16,3,2,M,6949761805344672,0
Apple Store,pharmacy,421.34,28.4021,-105.0082,28.4496,-105.0035,6,29,12,F,8647806902057461,0
7-Eleven,convenience,979.61,29.2042,-66.6907,29.2362,-66.70330000000001,7,19,11,M,4547173087130151,0
Shell,fuel,404.02,48.4628,-83.1914,48.4871,-83.1721,21,22,4,M,4977642363170714,1
CVS,electronics,345.71,45.5096,-76.1769,45.5073,-76.17020000000001,12,11,11,M,2671019596323947,0
eBay,convenience,919.7,26.3446,-91.1443,26.305,-91.1393,7,31,3,F,1627466084138069,0
Apple Store,clothing,405.0,28.2595,-121.1301,28.2977,-121.13289999999999,9,14,7,M,2005913956131022,0
Target,convenience,625.14,36.5554,-114.0364,36.5263,-114.0056,0,10,3,F,8978396166114809,0
CVS,convenience,596.06,47.1058,-116.9247,47.062400000000004,-116.96170000000001,10,10,11,F,7368168268646365,1
Shell,grocery,392.86,30.4445,-78.0742,30.396700000000003,-78.05470000000001,1,20,3,F,7346735084213179,0
Amazon,pharmacy,213.07,28.3837,-66.1099,28.334400000000002,-66.1351,23,7,6,M,9737465756801145,0
7-Eleven,convenience,255.7,47.361,-107.7785,47.3994,-107.7581,3,1,12,F,9728594453358011,0
Apple Store,clothing,318.26,46.3322,-124.3675,46.3364,-124.3589,0,15,3,M,5288655612533178,1
Walmart,electronics,866.87,30.1465,-112.7265,30.1284,-112.7751,8,15,3,F,9957532093209950,1
eBay,grocery,744.92,47.8942,-85.7063,47.8938,-85.6815,0,27,5,F,7496881542222942,1
7-Eleven,grocery,8.26,40.5875,-93.5181,40.6318,-93.51780000000001,1,22,12,M,2751057534580388,0
Amazon,fuel,719.31,25.4777,-69.667,25.4345,-69.6932,12,14,8,M,1138904595294493,0
CVS,grocery,48.52,25.9392,-90.0043,25.9762,-90.0392,3,16,1,F,9381903201367523,0
Apple Store,electronics,529.06,47.1091,-88.5535,47.1233,-88.5371,3,23,7,F,4045166275680476,0
Amazon,fuel,636.15,30.6558,-104.4642,30.6708,-104.43480000000001,12,21,2,F,8258509795473766,0
Amazon,electronics,116.42,37.0278,-103.7157,37.0602,-103.7273,16,6,2,M,4137673952394451,0
eBay,fuel,652.8,29.1428,-124.5794,29.147100000000002,-124.55690000000001,10,24,2,F,3519452573249535,0
CVS,pharmacy,142.5,40.7261,-102.9174,40.684000000000005,-102.9643,3,29,12,M,2759906517191384,0
Target,pharmacy,854.7,28.8365,-108.1753,28.843500000000002,-108.1361,15,23,12,M,2083426404599577,0
Best Buy,clothing,948.3,26.7155,-112.3319,26.6783,-112.3426,13,8,10,F,9421258243322430,0
Apple Store,grocery,889.4,41.9196,-88.6849,41.9416,-88.6726,16,13,8,F,2223632090564611,0
Best Buy,fuel,816.17,37.6947,-78.5033,37.673199999999994,-78.464,11,8,2,M,6098018799486761,0
Amazon,convenience,253.94,37.3897,-106.2092,37.428999999999995,-106.255,21,21,1,M,2021502454014506,1
CVS,pharmacy,598.82,47.9709,-117.6778,47.994,-117.7183,7,9,6,F,2947347715386065,0
7-Eleven,convenience,433.9,35.0391,-69.3094,35.047999999999995,-69.3376,21,16,9,M,6047341392455051,0
eBay,grocery,876.21,47.8191,-76.8573,47.7937,-76.8484,6,18,10,M,3415318412516979,0
Kroger,electronics,13.56,27.5559,-90.1101,27.584600000000002,-90.1345,20,6,8,F,2617933967157649,0
Best Buy,electronics,600.26,26.9196,-111.2083,26.8889,-111.1687,15,9,12,M,6345071775561406,0
Kroger,electronics,933.67,36.493,-122.106,36.5123,-122.1228,3,23,11,F,9280945805232137,0
7-Eleven,clothing,546.6,41.7763,-106.3124,41.8246,-106.2885,10,23,6,M,5384444997979526,0
Amazon,grocery,459.99,44.7917,-74.5322,44.8234,-74.5776,8,8,4,M,1447961735061555,0
Amazon,fuel,685.62,31.109,-96.715,31.1458,-96.6936,9,25,9,F,1546631162059587,0
CVS,grocery,371.44,47.9884,-104.2564,48.0316,-104.2534,4,12,5,F,6842646351506480,0
Apple Store,grocery,466.62,42.0852,-76.1734,42.0488,-76.2095,22,2,1,F,1924558719485829,0
Target,pharmacy,588.92,26.7326,-91.5759,26.7196,-91.6145,0,25,12,F,9667239074078577,0
Target,clothing,904.52,26.5389,-81.2562,26.496100000000002,-81.2124,13,30,10,M,7111468505909503,0
Kroger,pharmacy,460.84,38.7275,-68.665,38.7631,-68.6436,15,9,4,M,5039238968945606,0
Target,electronics,35.01,32.644,-119.4426,32.6819,-119.4346,8,14,4,F,2015200276320534,0
Best Buy,convenience,269.88,29.7707,-106.6514,29.7846,-106.6519,18,14,3,F,6985913270925149,0
Shell,convenience,606.8,44.3069,-90.5756,44.3062,-90.5903,4,4,7,M,2224381529885252,0
CVS,clothing,509.66,41.3021,-101.8567,41.257600000000004,-101.84150000000001,11,6,3,F,2843090391398867,0
Walmart,clothing,729.92,26.4246,-73.2914,26.4479,-73.3252,17,11,10,F,4543905106887990,0
CVS,electronics,419.55,27.5291,-91.6424,27.5632,-91.5955,16,8,6,F,8943195021489429,0
eBay,fuel,332.92,36.4689,-68.2411,36.4726,-68.1964,21,11,1,F,7063129263326589,0
eBay,grocery,713.46,43.4749,-119.0873,43.473299999999995,-119.0996,1,22,9,F,8135327163482492,0
Amazon,electronics,844.87,33.6329,-122.3801,33.5952,-122.3687,19,10,6,F,9888052260317488,0
Best Buy,pharmacy,640.37,41.0504,-67.2641,41.0698,-67.3138,13,5,10,F,1309182178784489,0
Shell,grocery,391.36,48.4978,-75.2963,48.4721,-75.3449,5,7,4,M,6710322983917593,0
Apple Store,clothing,143.04,27.1559,-92.8966,27.110599999999998,-92.88950000000001,3,16,6,F,3568808556597754,1
Walmart,fuel,377.66,38.8569,-122.6682,38.847500000000004,-122.6242,6,22,3,F,6971811517179127,0
Walmart,fuel,380.21,43.2002,-115.14,43.2252,-115.1644,23,9,3,F,1762168615256741,0
Target,fuel,201.53,31.1428,-83.2753,31.1339,-83.2841,5,21,2,M,1552366875477607,0
Best Buy,convenience,111.02,26.6971,-94.4902,26.6696,-94.4604,11,22,6,F,1160360696833763,0
Shell,grocery,919.61,46.1064,-69.8185,46.152300000000004,-69.8629,16,4,7,M,8631241853847873,0
Kroger,grocery,48.73,29.9524,-71.3617,29.9893,-71.3319,13,17,6,M,1286968379666556,0
Amazon,pharmacy,834.81,28.9446,-88.6859,28.971500000000002,-88.6735,20,9,3,M,4316486561420455,0
Amazon,electronics,808.61,34.9894,-113.216,35.010200000000005,-113.1828,7,5,3,F,6823250977894431,0
Target,electronics,145.97,38.2325,-120.9131,38.272400000000005,-120.8783,19,18,11,M,6096163882705490,0
Target,grocery,76.83,38.1187,-93.7413,38.119299999999996,-93.72,12,9,8,F,7170002555861558,0
7-Eleven,grocery,978.03,43.0095,-109.4846,43.055600000000005,-109.4746,6,23,3,M,8631776041026440,0
Walmart,grocery,821.02,37.4394,-104.4867,37.4039,-104.4463,17,20,12,M,8810236035418477,0
Walmart,fuel,41.96,42.9815,-110.324,42.9751,-110.3245,16,9,10,F,7312330210262135,1
eBay,clothing,289.39,33.3145,-85.4004,33.2978,-85.427,0,5,3,F,9427395393444168,0
Kroger,convenience,266.53,41.6272,-108.5215,41.6586,-108.5686,11,26,9,F,9148717021539393,0
Best Buy,convenience,705.59,30.2638,-104.7631,30.225,-104.765,10,9,1,F,2125661202378043,0
CVS,grocery,251.06,26.3166,-84.1688,26.3292,-84.1564,23,18,11,F,3952519129752677,0
Amazon,convenience,553.97,32.2559,-73.3098,32.248999999999995,-73.3424,17,26,2,F,1002072579046463,0
7-Eleven,grocery,955.61,45.4038,-123.3968,45.410599999999995,-123.3945,12,1,12,F,2831544582064213,0
eBay,pharmacy,56.6,48.3984,-114.2422,48.4033,-114.27759999999999,13,28,2,M,9347081245227413,0
eBay,convenience,412.44,41.3013,-80.0689,41.301199999999994,-80.0347,4,5,9,M,8467232508236087,0
Best Buy,electronics,991.83,35.9038,-73.5709,35.8878,-73.61049999999999,14,2,5,M,9410976030950892,0
eBay,grocery,859.95,26.169,-119.9896,26.2122,-120.0149,23,25,11,F,5481824683180507,0
Amazon,grocery,649.01,30.5043,-116.4697,30.4812,-116.4317,1,11,5,M,3155083183035893,0
Best Buy,pharmacy,612.51,32.4675,-84.6916,32.5068,-84.66329999999999,10,8,1,M,2293739806733541,0
eBay,pharmacy,537.94,34.5383,-80.3515,34.5223,-80.3425,7,23,10,M,9646615437335688,0
Amazon,clothing,127.82,35.0471,-82.4589,35.059,-82.5015,21,26,1,M,4831779522564317,0
